task_index	fresh_model_index	grid_model_index	model_label	mass_factor	envelope_amax_um	envelope_size_exponent	parameter	parameter_sha256	task_workdir
14	14	16	m2p25_a0p50_q3p25_i0p05	2.25	0.50	3.25	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p25_i0p05/disk_envelope_m2p25_a0p50_q3p25_i0p05_temperature.para	9ff32a7b0bace8cbd764a381259237dddec339b6e9a5ec41131f24831cacd662	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p25_i0p05/temperature
15	15	18	m2p25_a0p50_q3p75_i0p05	2.25	0.50	3.75	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p75_i0p05/disk_envelope_m2p25_a0p50_q3p75_i0p05_temperature.para	429dad89e3eaca24de22cb3be1a35dad852ed2cc77f2eb2a743ee79bf82ce125	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p75_i0p05/temperature
16	16	19	m2p25_a0p50_q4p00_i0p05	2.25	0.50	4.00	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q4p00_i0p05/disk_envelope_m2p25_a0p50_q4p00_i0p05_temperature.para	5bd079b6fcb374681ef73a8728e9ea45b132734af4e07fec0eaf9cd81b8ccad9	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q4p00_i0p05/temperature
17	17	20	m2p25_a0p60_q3p25_i0p05	2.25	0.60	3.25	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p25_i0p05/disk_envelope_m2p25_a0p60_q3p25_i0p05_temperature.para	4be2f7ca6bf98d78936997f6f6c444dc4053c069cd3f1b72a733299f1fd74183	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p25_i0p05/temperature
18	18	22	m2p25_a0p60_q3p75_i0p05	2.25	0.60	3.75	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p75_i0p05/disk_envelope_m2p25_a0p60_q3p75_i0p05_temperature.para	5ea0cb84cc653119667522e49597b608aaa44e423c91c7149e7b39d7c02c4bbe	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p75_i0p05/temperature
19	19	23	m2p25_a0p60_q4p00_i0p05	2.25	0.60	4.00	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q4p00_i0p05/disk_envelope_m2p25_a0p60_q4p00_i0p05_temperature.para	308967258717c3292ddd4bef479bf61ec96e8a300cd81a38ed56b3989d1048c3	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q4p00_i0p05/temperature
20	20	24	m2p50_a0p40_q3p25_i0p05	2.50	0.40	3.25	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p25_i0p05/disk_envelope_m2p50_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p25_i0p05/temperature
21	21	25	m2p50_a0p40_q3p50_i0p05	2.50	0.40	3.50	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p50_i0p05/disk_envelope_m2p50_a0p40_q3p50_i0p05_temperature.para	41de183f17cd90987aebc6bf5064d12fb3218b48086e52471be15d58bb75e637	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p50_i0p05/temperature
22	22	26	m2p50_a0p40_q3p75_i0p05	2.50	0.40	3.75	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p75_i0p05/disk_envelope_m2p50_a0p40_q3p75_i0p05_temperature.para	f0d0ca947cda67056f9f9d5889db13fa0d7eec827d082dbb86277f1473adc8e2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p75_i0p05/temperature
23	23	27	m2p50_a0p40_q4p00_i0p05	2.50	0.40	4.00	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q4p00_i0p05/disk_envelope_m2p50_a0p40_q4p00_i0p05_temperature.para	4c7a61db3154555e6c4b238a06b2fcba84f87df3132d8938be467fc53d9c646b	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q4p00_i0p05/temperature
24	24	28	m2p50_a0p50_q3p25_i0p05	2.50	0.50	3.25	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p25_i0p05/disk_envelope_m2p50_a0p50_q3p25_i0p05_temperature.para	abc349432671636cb1c4bf8f165e5589fc0cd71a707fe62e0f71f044b1bd6ea7	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p25_i0p05/temperature
25	25	30	m2p50_a0p50_q3p75_i0p05	2.50	0.50	3.75	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p75_i0p05/disk_envelope_m2p50_a0p50_q3p75_i0p05_temperature.para	51089db421a515cb078ea5969aabe63adeabc678e6047c521f6b1dc26c69f3e0	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p75_i0p05/temperature
26	26	31	m2p50_a0p50_q4p00_i0p05	2.50	0.50	4.00	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q4p00_i0p05/disk_envelope_m2p50_a0p50_q4p00_i0p05_temperature.para	910f2b9592fc07375ecefde97d8ec02078b501f9f6b02e4b80ee8c43a297f2fe	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q4p00_i0p05/temperature
27	27	32	m2p50_a0p60_q3p25_i0p05	2.50	0.60	3.25	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p25_i0p05/disk_envelope_m2p50_a0p60_q3p25_i0p05_temperature.para	5d383554a295448ab9dff0221f50b46375b5f555787c8b4bf052cf5a6d68fbbc	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p25_i0p05/temperature
28	28	34	m2p50_a0p60_q3p75_i0p05	2.50	0.60	3.75	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p75_i0p05/disk_envelope_m2p50_a0p60_q3p75_i0p05_temperature.para	ea4b41cc282ccf39cc2c1b837e33bfb16b93509a7e500374a6066786fdfec71a	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p75_i0p05/temperature
29	29	35	m2p50_a0p60_q4p00_i0p05	2.50	0.60	4.00	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q4p00_i0p05/disk_envelope_m2p50_a0p60_q4p00_i0p05_temperature.para	6166abdbcf7ce803c48d36fc5e3a17ca09dc4117f80dc8c71b61a12cad9e5cfa	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q4p00_i0p05/temperature
