grid_model_index	model_label	mass_factor	envelope_dust_mass_msun	envelope_amax_um	envelope_size_exponent	execution	fresh_model_index	temperature_parameter	temperature_parameter_sha256	rt_parameter	rt_parameter_sha256	upstream_model_label
10	m2p00_a0p60_q3p75_i0p05	2.00	0.0002	0.60	3.75	fresh	8	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p75_i0p05/disk_envelope_m2p00_a0p60_q3p75_i0p05_temperature.para	d3502c906135c4215601a680d0d3ff99a189bd4a284ea928cd194cb52e255f7b	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p75_i0p05/disk_envelope_m2p00_a0p60_q3p75_i0p05_rt.para	07eb8f8e4567418d375b40fb70a98744882de665d39cbde3b1414399b5e7683a	
11	m2p00_a0p60_q4p00_i0p05	2.00	0.0002	0.60	4.00	fresh	9	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q4p00_i0p05/disk_envelope_m2p00_a0p60_q4p00_i0p05_temperature.para	7eae81d26b6c2a95721aecbd570aa71b53c4f7d868a0862b9ec06eda85d4da5c	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q4p00_i0p05/disk_envelope_m2p00_a0p60_q4p00_i0p05_rt.para	cbaf5717cdba77bd54615c9207430f114f37cdee7ab416261e28daa5a0d66740	
12	m2p25_a0p40_q3p25_i0p05	2.25	0.000225	0.40	3.25	fresh	10	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p40_q3p25_i0p05/disk_envelope_m2p25_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p40_q3p25_i0p05/disk_envelope_m2p25_a0p40_q3p25_i0p05_rt.para	238130d76387998290b360c7dc68c330824e95e48a1cd2a70c2625f90e1c986c	
13	m2p25_a0p40_q3p50_i0p05	2.25	0.000225	0.40	3.50	fresh	11	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p40_q3p50_i0p05/disk_envelope_m2p25_a0p40_q3p50_i0p05_temperature.para	86265666cd7d86006f4f15b5327404c4c0006ad91255e7071e750b27c30f3d81	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p40_q3p50_i0p05/disk_envelope_m2p25_a0p40_q3p50_i0p05_rt.para	d49b4073d7ef9073a72267a9cbc8c98e707a83c97458b1ab431a1c2612a51ca1	
14	m2p25_a0p40_q3p75_i0p05	2.25	0.000225	0.40	3.75	fresh	12	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p40_q3p75_i0p05/disk_envelope_m2p25_a0p40_q3p75_i0p05_temperature.para	8e48f1386079b3344912289e4fd2f7eb9c9f6a57276034b42a8860e03e3aadba	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p40_q3p75_i0p05/disk_envelope_m2p25_a0p40_q3p75_i0p05_rt.para	ce9220efb9948c86ccb01d1da9407722d42e3fb202b9058190e0dc784ca4139b	
15	m2p25_a0p40_q4p00_i0p05	2.25	0.000225	0.40	4.00	fresh	13	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p40_q4p00_i0p05/disk_envelope_m2p25_a0p40_q4p00_i0p05_temperature.para	f9aaed51dc63d3e7af43261d8f85a3515d9fe007ee325e2423979a919ae77776	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p40_q4p00_i0p05/disk_envelope_m2p25_a0p40_q4p00_i0p05_rt.para	15dd69b35ad9ee770c055dd3c8fcd570cf54934f867f5109d407618a14d786c2	
16	m2p25_a0p50_q3p25_i0p05	2.25	0.000225	0.50	3.25	fresh	14	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p25_i0p05/disk_envelope_m2p25_a0p50_q3p25_i0p05_temperature.para	9ff32a7b0bace8cbd764a381259237dddec339b6e9a5ec41131f24831cacd662	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p25_i0p05/disk_envelope_m2p25_a0p50_q3p25_i0p05_rt.para	d3bfe047f3524f6d719a21d78020e20cb68a1d13c7dd91cd0d902b8d2f11a173	
17	m2p25_a0p50_q3p50_i0p05	2.25	0.000225	0.50	3.50	upstream_reuse		jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p50_i0p05/disk_envelope_m2p25_a0p50_q3p50_i0p05_temperature.para	273ebd038f85adb9c773a96ed1cdcaf862286c6db00741cb134cc7bc34473af3	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p50_i0p05/disk_envelope_m2p25_a0p50_q3p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	m2p25_a0p50_i0p05
18	m2p25_a0p50_q3p75_i0p05	2.25	0.000225	0.50	3.75	fresh	15	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p75_i0p05/disk_envelope_m2p25_a0p50_q3p75_i0p05_temperature.para	429dad89e3eaca24de22cb3be1a35dad852ed2cc77f2eb2a743ee79bf82ce125	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q3p75_i0p05/disk_envelope_m2p25_a0p50_q3p75_i0p05_rt.para	8a5f7003f2a2379705a214ad83ecacf03dfa00912c871b623d0a50888b891dbb	
19	m2p25_a0p50_q4p00_i0p05	2.25	0.000225	0.50	4.00	fresh	16	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q4p00_i0p05/disk_envelope_m2p25_a0p50_q4p00_i0p05_temperature.para	5bd079b6fcb374681ef73a8728e9ea45b132734af4e07fec0eaf9cd81b8ccad9	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p50_q4p00_i0p05/disk_envelope_m2p25_a0p50_q4p00_i0p05_rt.para	9e0d5f0e150dd74738adb3afc168c85dd1fc57c46accca0bc430994f4c3778cc	
