grid_model_index	model_label	mass_factor	envelope_amax_um	execution	fresh_model_index	temperature_parameter	temperature_parameter_sha256	rt_parameter	rt_parameter_sha256	upstream_model_index	upstream_rt_task_indices
0	m2p00_a0p50_i0p05	2.00	0.50	upstream_reuse		jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p50_i0p05/disk_envelope_m2p00_a0p50_i0p05_temperature.para	310d8e97f04a8783df630370ee74f5d38204a4a3ce311035f92bac8f03bce92c	jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p50_i0p05/disk_envelope_m2p00_a0p50_i0p05_rt.para	2a02b092455191897c32f918372080d7a9950f112814e58322e41dd8e7b54c45	15	150-159
1	m2p00_a0p60_i0p05	2.00	0.60	fresh	0	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p60_i0p05/disk_envelope_m2p00_a0p60_i0p05_temperature.para	706c298341b3436cbc577e82593ef24fd041c1ada0da9ad1a72fa6bce8bb3842	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p60_i0p05/disk_envelope_m2p00_a0p60_i0p05_rt.para	cd7c92aff5a5692816a0b8915587d121f2e974c8bca0b6a56fcd78559ee03521		
2	m2p00_a0p70_i0p05	2.00	0.70	fresh	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_temperature.para	dee23a2bb53bb678c5bbbb98473e5d592e03a0ee8ac5e020a305839b3d89edc7	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab		
3	m2p25_a0p50_i0p05	2.25	0.50	fresh	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_temperature.para	273ebd038f85adb9c773a96ed1cdcaf862286c6db00741cb134cc7bc34473af3	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca		
4	m2p25_a0p60_i0p05	2.25	0.60	fresh	3	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p60_i0p05/disk_envelope_m2p25_a0p60_i0p05_temperature.para	0e15b0b98c76994e754764d9576e6931c8fbdac2ef8e8819b7524a7bfbe85046	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p60_i0p05/disk_envelope_m2p25_a0p60_i0p05_rt.para	da60f8ea014931f81d63e497ccfe27d2099d33324e54921315b44e1f698ec8eb		
5	m2p25_a0p70_i0p05	2.25	0.70	fresh	4	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p70_i0p05/disk_envelope_m2p25_a0p70_i0p05_temperature.para	823f813957b06684184d0ee432bb75cfff62557eb88b3841d45fd1f0e8e5d595	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p70_i0p05/disk_envelope_m2p25_a0p70_i0p05_rt.para	743d4b6795b250997c6e1aa1dc38d593ef47057f564b32a3606cf54a84cf9668		
6	m2p50_a0p50_i0p05	2.50	0.50	fresh	5	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p50_i0p05/disk_envelope_m2p50_a0p50_i0p05_temperature.para	26dc7739700575c0e2ed0ad9a5acd53d4eae15ec06d1531ba13711aa7fe09e9a	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p50_i0p05/disk_envelope_m2p50_a0p50_i0p05_rt.para	8d55db51f9ebd14d5e6f729a8aa08a3c84de43fe46b179d2a567098a95e1e602		
7	m2p50_a0p60_i0p05	2.50	0.60	fresh	6	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p60_i0p05/disk_envelope_m2p50_a0p60_i0p05_temperature.para	f5749d8cfaeefad34926080739bc50494623d9488c1ab9d6df3524ba058269e4	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p60_i0p05/disk_envelope_m2p50_a0p60_i0p05_rt.para	933474319241fde2c7a8de01d9d4554c5fcd0e05b7f66fa56d9f7cb1cc2a8d1e		
8	m2p50_a0p70_i0p05	2.50	0.70	fresh	7	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p70_i0p05/disk_envelope_m2p50_a0p70_i0p05_temperature.para	a7aeff28950c8cc08ea6c6113a1b2cff82987e2269b8d1b2f4e06e3cef3a2728	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p70_i0p05/disk_envelope_m2p50_a0p70_i0p05_rt.para	aee16e49244e684e2ee7b97e9cd7e8b399c09399b35cb1ed6a915e611e00cda0		
