task_index	grid_model_index	model_label	mass_factor	envelope_amax_um	parameter	parameter_sha256	task_workdir
0	1	m2p00_a0p60_i0p05	2.00	0.60	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p60_i0p05/disk_envelope_m2p00_a0p60_i0p05_temperature.para	706c298341b3436cbc577e82593ef24fd041c1ada0da9ad1a72fa6bce8bb3842	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p60_i0p05/temperature
1	2	m2p00_a0p70_i0p05	2.00	0.70	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_temperature.para	dee23a2bb53bb678c5bbbb98473e5d592e03a0ee8ac5e020a305839b3d89edc7	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature
2	3	m2p25_a0p50_i0p05	2.25	0.50	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_temperature.para	273ebd038f85adb9c773a96ed1cdcaf862286c6db00741cb134cc7bc34473af3	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature
3	4	m2p25_a0p60_i0p05	2.25	0.60	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p60_i0p05/disk_envelope_m2p25_a0p60_i0p05_temperature.para	0e15b0b98c76994e754764d9576e6931c8fbdac2ef8e8819b7524a7bfbe85046	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p60_i0p05/temperature
4	5	m2p25_a0p70_i0p05	2.25	0.70	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p70_i0p05/disk_envelope_m2p25_a0p70_i0p05_temperature.para	823f813957b06684184d0ee432bb75cfff62557eb88b3841d45fd1f0e8e5d595	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p70_i0p05/temperature
5	6	m2p50_a0p50_i0p05	2.50	0.50	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p50_i0p05/disk_envelope_m2p50_a0p50_i0p05_temperature.para	26dc7739700575c0e2ed0ad9a5acd53d4eae15ec06d1531ba13711aa7fe09e9a	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p50_i0p05/temperature
6	7	m2p50_a0p60_i0p05	2.50	0.60	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p60_i0p05/disk_envelope_m2p50_a0p60_i0p05_temperature.para	f5749d8cfaeefad34926080739bc50494623d9488c1ab9d6df3524ba058269e4	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p60_i0p05/temperature
7	8	m2p50_a0p70_i0p05	2.50	0.70	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p70_i0p05/disk_envelope_m2p50_a0p70_i0p05_temperature.para	a7aeff28950c8cc08ea6c6113a1b2cff82987e2269b8d1b2f4e06e3cef3a2728	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p50_a0p70_i0p05/temperature
