support_index	support_id	continuum_side	continuum_run_quantile	continuum_run_row_count	continuum_run_selected_index	selection_rule	dense_profile_row_zero_based	wavelength_um	observed_stitch_normalized_fnu_Jy	observed_random_error_conservative_proxy_Jy	observed_random_error_diagonal_operator_Jy	source_segment	native_run_id	stitch_scale_applied	relative_gain_sensitivity_segment	scored_directly	lsf_full_kernel_safety_sigma	lsf_full_kernel_lower_um	lsf_full_kernel_upper_um	source_native_run_min_um	source_native_run_max_um	gap_safe_in_actual_native_run	crosses_stitch_seam	stitch_seam_restriction_applied
0	h2o_continuum_blue_q20	blue	0.20000000000000001	342	68	nearest_integer_to_q_times_n_minus_1_half_up	68	2.5747747777204344	0.094862994438584786	0.00015184707494956694	0.00010364442272213544	G235H	G235H_run01	1	G235H	False	5	2.5724978555462839	2.577053715202227	2.4692259432049468	3.1693539229454473	True	False	False
1	h2o_continuum_blue_q50	blue	0.5	342	171	nearest_integer_to_q_times_n_minus_1_half_up	171	2.6122960249124896	0.10529375167450063	0.00012172046907548908	7.9923559400034704e-05	G235H	G235H_run01	1	G235H	False	5	2.6099859219877457	2.6146081725132135	2.4692259432049468	3.1693539229454473	True	False	False
2	h2o_continuum_blue_q80	blue	0.80000000000000004	342	273	nearest_integer_to_q_times_n_minus_1_half_up	273	2.649991809092044	0.11170823268590845	0.00019106348942840611	0.00012780027460012176	G235H	G235H_run01	1	G235H	False	5	2.6476483710703382	2.6523373212946799	2.4692259432049468	3.1693539229454473	True	False	False
3	h2o_continuum_red_q20	red	0.20000000000000001	118	23	nearest_integer_to_q_times_n_minus_1_half_up	2040	3.549182441347746	0.25313107533180756	0.00045979092425282484	0.00032352188903041039	G395H	G395H_run00	0.98135823922484378	G395H	False	5	3.5460438319941292	3.5523238286897754	2.8703323855588678	4.0713223847851614	True	False	False
4	h2o_continuum_red_q50	red	0.5	118	59	nearest_integer_to_q_times_n_minus_1_half_up	2077	3.5744323010028149	0.26994894244700973	0.0005192821077188894	0.00036108338740619902	G395H	G395H_run00	0.98135823922484378	G395H	False	5	3.5712713627193668	3.5775960370380488	2.8703323855588678	4.0713223847851614	True	False	False
5	h2o_continuum_red_q80	red	0.80000000000000004	118	94	nearest_integer_to_q_times_n_minus_1_half_up	2112	3.5984826141459596	0.27633758203889086	0.0005488075447598812	0.00039009721367126937	G395H	G395H_run00	0.98135823922484378	G395H	False	5	3.5953004077144137	3.6016676371537648	2.8703323855588678	4.0713223847851614	True	False	False
