wavelength_um,stitch_normalized_raw_aperture_fnu_Jy,random_error_conservative_proxy_Jy,random_error_diagonal_operator_Jy,random_error_conservative_covariance_upper_Jy,source_segment,native_run_id,stitch_scale_applied,dense_unweighted_continuum_Jy,linear_continuum_formal_error_Jy,dense_unweighted_optical_depth,optical_depth_random_error_flux_only,optical_depth_error_with_continuum_formal,canonical_dense_continuum_fit_point,inside_integration_band,observable,mcfost_east_arcsec,mcfost_north_arcsec,aperture_radius_arcsec,background_subtracted,aperture_corrected,observed_flux_representation,random_error_source_column,random_error_is_raw_operator_proxy,relative_gain_sensitivity_segment,dense_profile_row_zero_based,canonical_sparse_huber_continuum_Jy,canonical_sparse_huber_optical_depth
2.5502992988322961,0.098925754191076312,0.00011474206170354976,7.5090672002423489e-05,0.00011474206170354976,G235H,G235H_run01,1,0.094927436322540554,0.00032386542598825271,-0.041256839558386285,0.001159880585614986,0.003603488181115993,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,0,0.093450707029338276,-0.056935511379795176
2.55065754131678,0.099035443847496865,0.0001086503183460408,7.272704548210766e-05,0.0001086503183460408,G235H,G235H_run01,1,0.09498670405981155,0.00032373413642769352,-0.041740880182318703,0.0010970851861213419,0.003580426728316224,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,1,0.093512487462427574,-0.057382821598031
2.5510158341238585,0.09931504786295102,0.00010354825032209585,7.1247002431255125e-05,0.00010354825032209585,G235H,G235H_run01,1,0.095045980122466733,0.00032360292770788982,-0.043936323176718445,0.0010426239784426868,0.003560763709493305,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,2,0.093574276573861331,-0.059541576191565714
2.5513741772606005,0.099646655683686386,0.00010256426230476507,7.0411805981314201e-05,0.00010256426230476507,G235H,G235H_run01,1,0.095105264511675586,0.00032347179998894134,-0.046646159809968224,0.0010292795237437792,0.0035535280549191688,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,3,0.093636074364858629,-0.062214766357104573
2.5517325707340759,0.099446408938492339,0.00010309207812388667,6.9025033531053975e-05,0.00010309207812388667,G235H,G235H_run01,1,0.095164557228607755,0.0003233407534311678,-0.04401132097388398,0.0010366596363238132,0.0035523285740878012,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,4,0.093697880836638728,-0.059543322914949202
2.5520910145513551,0.098697597393944833,0.0001015925044465655,6.6446703700790259e-05,0.0001015925044465655,G235H,G235H_run01,1,0.095223858274432971,0.0003232097881951086,-0.035830081104185361,0.0010293310792669637,0.003546855670848597,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,5,0.09375969599042093,-0.051325520229467618
2.5524495087195107,0.098219392760654209,0.00010070842034708011,6.4915642892905372e-05,0.00010070842034708011,G235H,G235H_run01,1,0.095283167650321327,0.00032307890444152257,-0.030350507956396735,0.0010253415086009673,0.0035423626448792128,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,6,0.093821519827424926,-0.045809425984995246
2.5528080532456148,0.098811183554370532,0.00010105631136894574,6.5136188804422598e-05,0.00010105631136894574,G235H,G235H_run01,1,0.095342485357442802,0.00032294810233138874,-0.035735274421116445,0.0010227213938120662,0.0035382721287767157,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,7,0.093883352348870311,-0.051157713001102417
2.5531666481367417,0.10001259177037358,0.000101183669038819,6.5753257348080568e-05,0.000101183669038819,G235H,G235H_run01,1,0.095401811396967823,0.00032281738202590552,-0.047198530101276018,0.0010117092982765028,0.0035317738269202291,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,8,0.093945193555977122,-0.062584530809853975
2.5535252933999657,0.10015365026042021,9.9114390545083781e-05,6.3468464644661867e-05,9.9114390545083781e-05,G235H,G235H_run01,1,0.095461145770066744,0.00032268674368649165,-0.04798619525460434,0.00098962334660160529,0.003522178626572892,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,9,0.094007043449965327,-0.063335799598273193
